date,video_id,platform,plays,reach,comments,likes,shares,score
2026-05-07,2050095295927457,fb,3136,3126,2,59,0,25
2026-05-07,821990560946949,fb,7362,7371,76,132,2,47
2026-05-07,26541072558894159,fb,3568,3532,0,83,0,17
2026-05-07,2039704963556171,fb,9199,9372,5,206,3,52
2026-05-07,1671239750567460,fb,3654,3678,0,51,3,27
2026-05-07,796828263186023,fb,8621,8630,129,121,0,52
2026-05-07,974792628330298,fb,15625,15909,2,401,7,53
2026-05-07,2248656868999741,fb,6986,7093,33,312,6,57
2026-05-07,942254035074221,fb,5505,5644,2,149,1,35
2026-05-07,1589419192539706,fb,1505,1478,1,45,0,19
2026-05-07,4342797209371871,fb,35810,35974,14,744,4,63
2026-05-07,848247071634612,fb,2513,2460,40,57,0,39
2026-05-07,832959339849869,fb,6441,6617,82,109,4,52
2026-05-07,1659281745117667,fb,5507,5355,5,139,10,54
2026-05-07,26920335274251064,fb,4633,4514,88,95,0,49
2026-05-07,2105862643317069,fb,5673,5969,105,89,4,58
2026-05-07,1621388699080925,fb,2191,2141,5,45,0,11
2026-05-07,1484578456379295,fb,3028,2904,0,75,3,26
2026-05-07,1244556247419577,fb,31559,33235,15,536,0,60
2026-05-07,1227351359195476,fb,12334,12426,18,377,19,67
2026-05-07,17921707305333986,ig,869,854,0,9,0,0
2026-05-07,18311920003278841,ig,2182,2149,1,51,8,39
2026-05-07,18083574995525867,ig,1467,1440,20,29,2,0
2026-05-07,18062242379415014,ig,4408,4374,0,99,2,29
2026-05-07,17965963686060929,ig,4505,4532,0,101,24,45
2026-05-07,18151543057415264,ig,3586,3324,15,37,4,24
2026-05-07,17998822607929829,ig,1522,1547,23,35,1,40
2026-05-07,17982421521003920,ig,3057,3045,0,57,3,27
2026-05-07,18105851549509097,ig,5323,5344,3,124,17,58
2026-05-07,18105667477723912,ig,1928,1905,11,49,1,19
2026-05-07,18055225880524372,ig,12959,13188,4,291,4,53
2026-05-07,17889398025346368,ig,1885,1910,24,23,3,41
2026-05-07,17858038980631344,ig,2611,2630,56,51,2,48
2026-05-07,17888877198350138,ig,3096,3019,4,147,51,53
2026-05-07,18428162641185239,ig,3089,3150,22,66,2,27
2026-05-07,17945036784159116,ig,48635,45856,18,1267,39,71
2026-05-07,18097207199034314,ig,5931,5764,3,156,53,65
2026-05-07,17896931571430319,ig,3293,3342,2,58,9,22
2026-05-07,2294434614419419,fb,14110,14321,4,451,29,65
2026-05-07,1480411827114437,fb,3351,3418,0,57,0,17
2026-05-07,17884106586513278,ig,2539,2421,1,87,22,43
2026-05-07,2671660139876729,fb,47503,60525,29,1148,3,64
2026-05-07,936590619013678,fb,5180,5304,0,95,11,43
2026-05-07,1320887196600099,fb,4789,5237,25,119,1,28
2026-05-07,18076028567534301,ig,12360,12205,5,462,15,64
2026-05-07,18077402978280199,ig,1132,1133,0,24,4,0
2026-05-07,18217336387316574,ig,1981,1993,33,32,2,46
2026-05-07,2199022047515003,fb,6454,6729,2,174,0,37
2026-05-07,1864229470939941,fb,5585,6166,4,113,0,41
2026-05-07,809802795138517,fb,5051,5366,0,134,5,25
2026-05-07,1479118220517328,fb,14977,15047,101,326,15,51
2026-05-07,2445443019237006,fb,4561,4744,0,96,4,33
2026-05-07,1327100795969723,fb,2648,2792,1,57,1,11
2026-05-07,770948119286458,fb,10364,10612,5,332,2,49
2026-05-07,1218409573702798,fb,4581,4588,2,73,1,17
2026-05-07,946358478014051,fb,7141,7512,83,88,0,49
2026-05-07,992409379972726,fb,2436,2421,2,16,0,8
2026-05-07,1685331449569077,fb,259871,307388,59,3640,237,71
2026-05-07,1297979515814750,fb,18467,18976,410,300,5,70
2026-05-07,1486532986230905,fb,1923,1972,0,18,0,11
2026-05-07,939633498894840,fb,7078,7492,75,144,1,46
2026-05-07,982031720841319,fb,8385,8441,75,165,5,48
2026-05-07,1950140099205338,fb,1450,1493,0,31,1,0
2026-05-07,1461501238810777,fb,8308,8677,145,138,0,60
2026-05-07,1532951375210753,fb,1053,1093,0,17,2,0
2026-05-07,935996825866036,fb,5308,5408,6,181,6,29
2026-05-07,1937578960215234,fb,5476,5146,0,81,4,37
2026-05-07,1519952812822608,fb,3298,3355,0,69,0,17
2026-05-07,1479065100557230,fb,1751,1770,1,39,0,21
2026-05-07,1495912212189973,fb,2684,2761,3,41,0,10
2026-05-07,789059620737242,fb,1270,1279,0,9,0,0
2026-05-07,2388503981575279,fb,3669,3618,1,66,0,23
2026-05-07,2469642576827530,fb,4750,4859,3,147,2,38
2026-05-07,2022651559131149,fb,8438,8909,107,139,1,54
2026-05-07,969440372335105,fb,6639,7264,156,105,6,67
